id;title;message;open_time;closing_time
1;generating Keyboard;../fake-data/blob/hipster.txt;2021-03-10;2021-03-10
2;Visionary Kyat;../fake-data/blob/hipster.txt;2021-03-09;2021-03-10
3;Towels e-services;../fake-data/blob/hipster.txt;2021-03-10;2021-03-10
4;Crossing Fish;../fake-data/blob/hipster.txt;2021-03-10;2021-03-10
5;lavender violet web-readiness;../fake-data/blob/hipster.txt;2021-03-10;2021-03-10
6;Fantastic;../fake-data/blob/hipster.txt;2021-03-10;2021-03-10
7;integrated Bedfordshire;../fake-data/blob/hipster.txt;2021-03-10;2021-03-10
8;Lights Generic;../fake-data/blob/hipster.txt;2021-03-09;2021-03-09
9;Director bypass;../fake-data/blob/hipster.txt;2021-03-09;2021-03-10
10;withdrawal grow;../fake-data/blob/hipster.txt;2021-03-09;2021-03-10
